phonome1,phonome2,distance
k,gy,85.6329374230141
k,h,71.43451045605468
k,hy,82.78636617109301
k,j,77.80185440726368
k,k,63.33919093471368
k,ky,73.21264999140463
k,m,89.34699445977715
k,my,95.61532851480747
k,n,85.2365197192609
k,ny,95.5247328197709
k,p,69.36528462066543
k,py,85.41570874911402
k,r,74.39696806405644
k,ry,90.22693967045107
k,s,77.00128709134678
k,sh,84.95050836630882
k,sp,71.64349808371755
k,t,68.78947590459866
k,ts,73.41437847735591
k,w,92.93246217329256
k,y,90.50004802383613
k,z,73.99004519542639
ky,b,76.35887984205179
ky,by,79.6007839191664
ky,ch,67.12674061545208
ky,d,72.23399581129978
ky,dy,89.10574922709644
ky,f,73.43170034297616
ky,g,72.43041478357934
ky,gy,75.36056855448653
ky,h,72.68372560537968
ky,hy,72.92498419378698
ky,j,68.91062216031669
ky,k,68.48624250828898
ky,ky,61.4076283102022
ky,m,93.28566626449951
ky,my,91.88323346312355
ky,n,84.3606328374371
ky,ny,86.23326719685595
ky,p,69.97310607036135
ky,py,75.3170592640618
ky,r,71.80610994142607
ky,ry,82.51584100071912
ky,s,74.69147797544458
ky,sh,75.16813743053713
ky,sp,74.01867375569934
ky,t,69.4132555281896
ky,ts,69.40001756861686
ky,w,101.20077344092273
ky,y,84.2128478636733
ky,z,71.32771455119989
m,b,65.77248731245686
m,by,75.95578885604964
m,ch,84.54695019570518
m,d,70.14832863215926
m,dy,79.14336254245427
m,f,72.46739186887221
m,g,66.07878129701002
m,gy,74.7882013192222
m,h,73.21076851656797
m,hy,74.88385913004754
m,j,75.94341179093449
m,k,75.7958347585049
m,ky,81.3620439156532
m,m,59.76688799166303
m,my,71.30225954990465
m,n,63.83567425725088
m,ny,73.56838672886936
m,p,73.24596703130618
m,py,83.6757861819225
m,r,67.04809119498107
m,ry,74.555874445442
m,s,80.34583135257769
m,sh,83.63527330330545
m,sp,80.20794328676747
m,t,79.49661098408097
m,ts,82.09363307862029
m,w,75.39978855433314
m,y,75.78321073597401
m,z,73.03237397535013
my,b,71.7797261673117
my,by,65.9286585405733
my,ch,80.48613044549023
my,d,71.60322006490846
my,dy,82.52449853775359
my,f,79.45070800645311
my,g,67.35218491091285
my,gy,67.67999537236174
my,h,77.44093546210159
my,hy,75.34845000173466
my,j,71.79804647606845
my,k,77.73057676545011
my,ky,75.82151857733233
my,m,69.34892183238476
my,my,58.44440181460873
my,n,67.38996582942461
my,ny,64.60243930029883
my,p,75.41924758334265
my,py,74.88422147592733
my,r,67.31907998774405
my,ry,66.95650787011964
my,s,82.76981653482108
my,sh,84.27043289931873
my,sp,81.41127881507764
my,t,80.04596718149203
my,ts,83.83004715969368
my,w,78.0604520390722
my,y,69.2415318360501
my,z,73.11375701000412
n,b,67.28768487932166
n,by,75.11359545925811
n,ch,82.18492282809781
n,d,68.20275214513383
n,dy,77.21459608924079
n,f,74.39781810929146
n,g,64.81182610199367
n,gy,73.2706377197857
n,h,74.2564558007402
n,hy,73.56205239132123
n,j,74.01824110163068
n,k,74.91221539665322
n,ky,79.67688324643171
n,m,64.78505214279927
n,my,70.57618688740901
n,n,60.51313183841821
n,ny,71.24673414107968
n,p,72.91463354506537
n,py,81.93305339365989
n,r,66.41773207245035
n,ry,73.52152231005499
n,s,79.6310421734587
n,sh,82.61173720217543
n,sp,78.73506409308025
n,t,77.46796173845324
n,ts,80.55018618248353
n,w,75.53927183868872
n,y,74.18098611461177
n,z,71.2475894967939
ny,b,72.63736128083457
ny,by,67.11347276205147
ny,ch,79.04293981550586
ny,d,72.45007931162172
ny,dy,77.98914886749209
ny,f,79.94832433268698
ny,g,67.42694936761855
ny,gy,67.91795359749216
ny,h,74.71399762398646
ny,hy,73.71835950136239
ny,j,69.53293793129613
ny,k,77.87832070333121
ny,ky,74.67954956721637
ny,m,70.8151765373031
ny,my,63.8786164073907
ny,n,68.11161097449927
ny,ny,58.04239141040954
ny,p,75.39117893297174
ny,py,76.7560453794132
ny,r,67.77477259807036
ny,ry,66.77917331036745
ny,s,81.6180976827863
ny,sh,80.86776254251497
ny,sp,81.42398582744714
ny,t,81.0559565481488
ny,ts,81.96508651246859
ny,w,80.74109929551285
ny,y,68.77083315181079
ny,z,73.35091262425738
p,b,68.49015000131745
p,by,82.50739903697246
p,ch,73.71725436667715
p,d,67.66258405437058
p,dy,89.8366069887738
p,f,71.71729209151302
p,g,67.16156071315963
p,gy,80.37758569599139
p,h,73.00646581175012
p,hy,79.6409335283931
p,j,78.22858677485523
p,k,66.26228356348328
p,ky,72.638395875169
p,m,81.64466087165538
p,my,95.95241521704628
p,n,80.28951615082933
p,ny,94.14436419545359
p,p,60.55345149002839
p,py,75.73474668598003
p,r,71.25878716784062
p,ry,88.09760629051722
p,s,74.60732775977525
p,sh,83.64867116002448
p,sp,70.16060592260345
p,t,65.07798462390481
p,ts,74.0620479404118
p,w,95.01014090391317
p,y,82.44266713611195
p,z,72.55192822501665
py,b,76.23073352466703
py,by,65.687147022455
py,ch,77.47770183273434
py,d,73.70022569794209
py,dy,97.3871820816758
py,f,78.52735928756209
py,g,72.97455816895976
py,gy,66.9015812739625
py,h,79.51842912169052
py,hy,74.89492324244638
py,j,71.99162780124621
py,k,75.3356131074071
py,ky,69.14854529531345
py,m,77.12560145710252
py,my,74.61534772281534
py,n,74.21334588127777
py,ny,75.98908916086025
py,p,73.85168476035439
py,py,59.23750937420786
py,r,71.1500452689149
py,ry,67.73574227560081
py,s,81.34727108162365
py,sh,84.04233466927745
py,sp,79.36400163565528
py,t,75.6616004338264
py,ts,80.95004537008917
py,w,88.62192105362477
py,y,69.03849242880756
py,z,73.38138218963014
r,b,71.30598705469008
r,by,75.19624007050997
r,ch,80.05648280002644
r,d,71.54991515722475
r,dy,82.82806375909144
r,f,75.30316752814862
r,g,69.24203558793056
r,gy,74.12686812099047
r,h,75.31113554805552
r,hy,75.0127091419047
r,j,75.11474502490836
r,k,75.13226381674245
r,ky,77.23672288298141
r,m,72.31934967480933
r,my,76.39816441364327
r,n,69.87232540029956
r,ny,76.09695039360652
r,p,73.50331155119436
r,py,80.2747583087115
r,r,62.963895905725714
r,ry,72.27840718691975
r,s,79.50107495136588
r,sh,82.41087801774773
r,sp,78.55439110596411
r,t,77.42397453548165
r,ts,80.34407651442446
r,w,81.87937828009227
r,y,76.15620510792454
r,z,73.86835874959654
ry,b,76.206024059819
ry,by,66.9705544877326
ry,ch,81.2860604043033
ry,d,74.29805047009266
ry,dy,89.40546249729016
ry,f,79.88537875329958
ry,g,72.01515523689312
ry,gy,65.24672125390619
ry,h,78.133956185368
ry,hy,72.20884895276545
ry,j,72.61777844664971
ry,k,78.47542761858769
ry,ky,73.69407698169312
ry,m,74.7210888582466
ry,my,70.72110315834101
ry,n,72.19189614457788
